baseline,representation,evidence_mode,split,length_bucket,samples,stop_f1,false_stop_rate,unnecessary_escalation_rate,auroc
evidence_only,uniform_packing,cumulative,test,<=512,141,0.9498069498069498,0.7058823529411765,0.008064516129032258,0.8140417457305502
evidence_only,uniform_packing,cumulative,test,513-1024,884,0.9050131926121372,0.6983240223463687,0.02695035460992908,0.8171956099686992
evidence_only,uniform_packing,cumulative,test,1025-2048,975,0.9455930359085963,0.9368421052631579,0.0125,0.7288157894736842
evidence_only,uniform_packing,cumulative,test,>2048,1000,0.9527310924369747,0.9655172413793104,0.0065717415115005475,0.6641865266709472
query_evidence,concat_truncate,cumulative,test,<=512,141,0.9561752988047809,0.4117647058823529,0.03225806451612903,0.9667931688804554
query_evidence,concat_truncate,cumulative,test,513-1024,884,0.9362298528381219,0.3016759776536313,0.0524822695035461,0.9354332580530131
query_evidence,concat_truncate,cumulative,test,1025-2048,975,0.9515320334261839,0.6421052631578947,0.029545454545454545,0.896255980861244
query_evidence,concat_truncate,cumulative,test,>2048,1000,0.9552238805970149,0.7701149425287356,0.018619934282584884,0.896306228046984
query_evidence,uniform_packing,cumulative,test,<=512,141,0.9603174603174603,0.4117647058823529,0.024193548387096774,0.9098671726755219
query_evidence,uniform_packing,cumulative,test,513-1024,884,0.9301075268817204,0.5083798882681564,0.018439716312056736,0.9103649114465707
query_evidence,uniform_packing,cumulative,test,1025-2048,975,0.949862258953168,0.7684210526315789,0.020454545454545454,0.8492464114832535
query_evidence,uniform_packing,cumulative,test,>2048,1000,0.9461907298881194,0.8735632183908046,0.027382256297918947,0.8168221475242663
query_evidence,score_aware_packing,cumulative,test,<=512,141,0.9641434262948207,0.35294117647058826,0.024193548387096774,0.9620493358633776
query_evidence,score_aware_packing,cumulative,test,513-1024,884,0.9465020576131687,0.35195530726256985,0.02127659574468085,0.9343397123499347
query_evidence,score_aware_packing,cumulative,test,1025-2048,975,0.9595567867036011,0.6210526315789474,0.015909090909090907,0.9061782296650717
query_evidence,score_aware_packing,cumulative,test,>2048,1000,0.9568965517241379,0.632183908045977,0.027382256297918947,0.882778763958656
query_evidence,uniform_packing,raw,test,<=512,141,0.9565217391304348,0.47058823529411764,0.024193548387096774,0.9492409867172676
query_evidence,uniform_packing,raw,test,513-1024,952,0.929419113054341,0.4919786096256685,0.027450980392156862,0.9183460906644297
query_evidence,uniform_packing,raw,test,1025-2048,971,0.9414440022740194,0.6747967479674797,0.02358490566037736,0.8635622794907194
query_evidence,uniform_packing,raw,test,>2048,936,0.9488636363636364,0.8690476190476191,0.01995305164319249,0.8247331209479096
query_evidence,hierarchical_mean,cumulative,test,<=512,141,0.9358490566037736,1.0,0.0,0.5488614800759013
query_evidence,hierarchical_mean,cumulative,test,513-1024,884,0.8873505349276274,1.0,0.0,0.44787828360870086
query_evidence,hierarchical_mean,cumulative,test,1025-2048,975,0.9487870619946092,1.0,0.0,0.6031698564593301
query_evidence,hierarchical_mean,cumulative,test,>2048,1000,0.9545216936748563,1.0,0.0,0.6893782024650326
query_evidence,hierarchical_max,cumulative,test,<=512,141,0.9277566539923955,1.0,0.016129032258064516,0.7789373814041746
query_evidence,hierarchical_max,cumulative,test,513-1024,884,0.8863492063492063,0.9608938547486033,0.009929078014184398,0.6876262926423393
query_evidence,hierarchical_max,cumulative,test,1025-2048,975,0.9481081081081081,0.9789473684210527,0.003409090909090909,0.7312081339712919
query_evidence,hierarchical_max,cumulative,test,>2048,1000,0.9545216936748563,1.0,0.0,0.7128828794803036
query_evidence,hierarchical_mean_max,cumulative,test,<=512,141,0.9318181818181818,1.0,0.008064516129032258,0.8045540796963946
query_evidence,hierarchical_mean_max,cumulative,test,513-1024,884,0.8891703609879671,0.9608938547486033,0.00425531914893617,0.7141804350410079
query_evidence,hierarchical_mean_max,cumulative,test,1025-2048,975,0.9486763911399244,0.9789473684210527,0.0022727272727272726,0.7528708133971291
query_evidence,hierarchical_mean_max,cumulative,test,>2048,1000,0.9544740973312402,0.9885057471264368,0.001095290251916758,0.7746723571401593
