baseline,representation,evidence_mode,split,gold_supporting_fact_bucket,samples,supporting_fact_recall,complete_evidence_coverage,stop_f1,false_stop_rate,unnecessary_escalation_rate,auroc
query_only,not_applicable,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.9296573048183457,0.8844765342960289,0.015283842794759825,0.8088425977015118
query_only,not_applicable,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.9309262166405023,0.9659090909090909,0.0050335570469798654,0.7736996644295302
query_only,not_applicable,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9620253164556962,0.8461538461538461,0.020618556701030927,0.8080888183980967
query_stage,not_applicable,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.9257412752558384,0.776173285198556,0.03711790393013101,0.8162441079564264
query_stage,not_applicable,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.9310071371927042,0.8863636363636364,0.015100671140939598,0.8114894752898107
query_stage,not_applicable,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9543147208121827,0.9230769230769231,0.030927835051546393,0.8045202220459953
query_stage_stats,not_applicable,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.928386092371562,0.8411552346570397,0.023471615720524017,0.8256812305897563
query_stage_stats,not_applicable,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.9323899371069182,0.9431818181818182,0.0050335570469798654,0.805083129957291
query_stage_stats,not_applicable,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9644670050761421,0.7692307692307693,0.020618556701030927,0.8973037272006344
evidence_only,uniform_packing,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.9341935483870968,0.8411552346570397,0.012008733624454149,0.7621368215282266
evidence_only,uniform_packing,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.9408,0.75,0.013422818791946308,0.7949778828553996
evidence_only,uniform_packing,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9540816326530612,0.8461538461538461,0.03608247422680412,0.746233148295004
query_evidence,concat_truncate,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.9453668987680771,0.49458483754512633,0.03657205240174673,0.9166482745574069
query_evidence,concat_truncate,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.9509001636661211,0.5113636363636364,0.025167785234899327,0.9161073825503355
query_evidence,concat_truncate,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9770992366412213,0.5384615384615384,0.010309278350515464,0.9480570975416336
query_evidence,uniform_packing,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.9396256261534406,0.6462093862815884,0.027292576419213975,0.8755783661501111
query_evidence,uniform_packing,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.9477911646586346,0.6704545454545454,0.010067114093959731,0.8585456070774864
query_evidence,uniform_packing,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9695431472081218,0.6923076923076923,0.015463917525773196,0.93695479777954
query_evidence,score_aware_packing,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.9541088580576307,0.4620938628158845,0.024017467248908297,0.9196514432550881
query_evidence,score_aware_packing,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.9511400651465798,0.5454545454545454,0.020134228187919462,0.9049248779743746
query_evidence,score_aware_packing,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9796954314720813,0.5384615384615384,0.005154639175257732,0.943695479777954
query_evidence,uniform_packing,raw,test,2,2109,0.9255571360834519,0.8549075391180654,0.9372496662216289,0.6111111111111112,0.026622296173044926,0.8829972920948745
query_evidence,uniform_packing,raw,test,3,684,0.932261208576998,0.8654970760233918,0.9433656957928802,0.6630434782608695,0.015202702702702704,0.8849515276145711
query_evidence,uniform_packing,raw,test,4+,207,0.971256038647343,0.9371980676328503,0.9693877551020408,0.6153846153846154,0.020618556701030927,0.9389373513084853
query_evidence,hierarchical_mean,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.9297132707434661,1.0,0.0,0.6258059685021992
query_evidence,hierarchical_mean,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.93125,1.0,0.0,0.5511554301403294
query_evidence,hierarchical_mean,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9675810473815462,1.0,0.0,0.7200634417129262
query_evidence,hierarchical_max,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.9291900152827305,0.9747292418772563,0.004366812227074236,0.7409431999117179
query_evidence,hierarchical_max,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.9310344827586207,0.9772727272727273,0.003355704697986577,0.7159090909090909
query_evidence,hierarchical_max,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9624060150375939,1.0,0.010309278350515464,0.7279936558287073
query_evidence,hierarchical_mean_max,cumulative,test,2,2109,0.93266951161688,0.8686581318160266,0.9310607987789367,0.9711191335740073,0.001091703056768559,0.7681116295934293
query_evidence,hierarchical_mean_max,cumulative,test,3,684,0.9342105263157895,0.8713450292397661,0.9301960784313725,0.9772727272727273,0.0050335570469798654,0.7363865161683953
query_evidence,hierarchical_mean_max,cumulative,test,4+,207,0.971256038647343,0.9371980676328503,0.9624060150375939,1.0,0.010309278350515464,0.810071371927042
