result_type,name,metric,observed,bootstrap_mean,ci95_low,ci95_high,replicates,valid_replicates,sampling_unit
model,QueryStage,macro_f1,0.6012119866632133,0.6013377419125603,0.5701405250263674,0.6324379948079457,2000,2000,question_id
model,QueryStage,auroc,0.8148011938057704,0.8150777260987565,0.788625948152846,0.8395658805232075,2000,2000,question_id
model,QueryStage,false_stop_rate,0.8068783068783069,0.8062960956494871,0.757031997885382,0.8538690970242434,2000,2000,question_id
model,ScoreAwareBaseline,macro_f1,0.7871774408087258,0.7865420370679256,0.757649155335673,0.8130967401248109,2000,2000,question_id
model,ScoreAwareBaseline,auroc,0.9169572481929462,0.9169662361135081,0.895684687274444,0.9350901791274929,2000,2000,question_id
model,ScoreAwareBaseline,false_stop_rate,0.48412698412698413,0.48478758777602887,0.4247282878411911,0.5458946707748488,2000,2000,question_id
model,FinalController,macro_f1,0.8080487065837039,0.8077517330595844,0.7800440097987404,0.8337620958305441,2000,2000,question_id
model,FinalController,auroc,0.9323555466766755,0.9324346879817658,0.9154834645681562,0.9476943347603585,2000,2000,question_id
model,FinalController,false_stop_rate,0.42063492063492064,0.4208135319952018,0.3603133021289446,0.48120996936786403,2000,2000,question_id
paired_delta,FinalController_minus_QueryStage,macro_f1,0.20683671992049057,0.20641399114702402,0.17086387692745256,0.24038911770588126,2000,2000,question_id
paired_delta,FinalController_minus_QueryStage,auroc,0.1175543528709051,0.11735696188300915,0.0926313970594043,0.14259197138585586,2000,2000,question_id
paired_delta,FinalController_minus_QueryStage,false_stop_rate,-0.3862433862433862,-0.38548256365428535,-0.44848973607038123,-0.3212039419998747,2000,2000,question_id
