group,metric,mean,std_sample,seeds
score_aware_balanced_stop_continue,macro_f1,0.7833329476560728,0.013702444686430771,3
score_aware_balanced_stop_continue,stop_f1,0.9540712042841463,0.0010227612922884572,3
score_aware_balanced_stop_continue,auroc,0.8891626543546197,0.027594314685802264,3
score_aware_balanced_stop_continue,false_stop_rate,0.4832451499118166,0.04219003073688073,3
score_aware_balanced_stop_continue,hard_partial_false_stop_rate,0.48916408668730654,0.04581624949519736,3
score_aware_balanced_stop_continue,unnecessary_escalation_rate,0.024281718789727944,0.003543696889083741,3
score_aware_balanced_stop_continue,coverage_mae,,,0
score_aware_balanced_stop_continue,coverage_spearman,,,0
score_aware_baseline,macro_f1,0.7970763875423774,0.013309348361898274,3
score_aware_baseline,stop_f1,0.9561464061297079,0.0013862553735174792,3
score_aware_baseline,auroc,0.9246307529424743,0.007180620389277922,3
score_aware_baseline,false_stop_rate,0.4514991181657848,0.04152119000703193,3
score_aware_baseline,hard_partial_false_stop_rate,0.45717234262125905,0.03667565664379124,3
score_aware_baseline,unnecessary_escalation_rate,0.02440884820747521,0.0028794181675327033,3
score_aware_baseline,coverage_mae,,,0
score_aware_baseline,coverage_spearman,,,0
score_aware_hard_partial_aware,macro_f1,0.7914340623221654,0.010600938473960968,3
score_aware_hard_partial_aware,stop_f1,0.9548838269826136,0.002051659989800562,3
score_aware_hard_partial_aware,auroc,0.9057730544826909,0.0076721139910822375,3
score_aware_hard_partial_aware,false_stop_rate,0.45943562610229277,0.05219981864884918,3
score_aware_hard_partial_aware,hard_partial_false_stop_rate,0.4726522187822497,0.04739303406895783,3
score_aware_hard_partial_aware,unnecessary_escalation_rate,0.025807271802695143,0.00941444626573792,3
score_aware_hard_partial_aware,coverage_mae,,,0
score_aware_hard_partial_aware,coverage_spearman,,,0
