group,seed,baseline,representation,coverage_lambda,sampling,threshold_selected_on_dev,macro_f1,stop_f1,auroc,false_stop_rate,hard_partial_false_stop_rate,unnecessary_escalation_rate,coverage_mae,coverage_spearman,run_dir,predictions
query_stage,42,query_stage,not_applicable,0.0,natural,0.05,0.6012119866632133,0.9290157336260519,0.8148011938057704,0.8068783068783069,0.804953560371517,0.031655225019069415,,,experiments/phase3a/core/query_stage/seed42,experiments/phase3a/core/query_stage/seed42/evaluation/test/original_predictions.jsonl
query_evidence_concat,42,query_evidence,concat_truncate,0.0,natural,0.2,0.7648037920865522,0.9489624228827819,0.9185206373421476,0.5,0.5139318885448917,0.032036613272311214,,,experiments/phase3a/core/query_evidence_concat/seed42,experiments/phase3a/core/query_evidence_concat/seed42/evaluation/test/original_predictions.jsonl
score_aware_baseline,42,query_evidence,score_aware_packing,0.0,natural,0.33,0.7871774408087258,0.9553072625698324,0.9169572481929462,0.48412698412698413,0.47678018575851394,0.021739130434782608,,,experiments/phase3a/core/score_aware_baseline/seed42,experiments/phase3a/core/score_aware_baseline/seed42/evaluation/test/original_predictions.jsonl
query_stage,123,query_stage,not_applicable,0.0,natural,0.5600000000000002,0.5370712038161435,0.9339554917444365,0.8174159230604692,0.9206349206349206,0.9226006191950464,0.007627765064836003,,,experiments/phase3a/core/query_stage/seed123,experiments/phase3a/core/query_stage/seed123/evaluation/test/original_predictions.jsonl
query_evidence_concat,123,query_evidence,concat_truncate,0.0,natural,0.16000000000000003,0.7590980631484276,0.9476439790575916,0.9088401357661464,0.5079365079365079,0.5232198142414861,0.033562166285278416,,,experiments/phase3a/core/query_evidence_concat/seed123,experiments/phase3a/core/query_evidence_concat/seed123/evaluation/test/original_predictions.jsonl
score_aware_baseline,123,query_evidence,score_aware_packing,0.0,natural,0.38000000000000006,0.7918451490484537,0.9553854769460519,0.9257473393629001,0.4656084656084656,0.47987616099071206,0.02402745995423341,,,experiments/phase3a/core/score_aware_baseline/seed123,experiments/phase3a/core/score_aware_baseline/seed123/evaluation/test/original_predictions.jsonl
query_stage,2026,query_stage,not_applicable,0.0,natural,0.4000000000000001,0.5936745299292737,0.9263196480938416,0.8300234281355563,0.8121693121693122,0.8111455108359134,0.036231884057971016,,,experiments/phase3a/core/query_stage/seed2026,experiments/phase3a/core/query_stage/seed2026/evaluation/test/original_predictions.jsonl
query_evidence_concat,2026,query_evidence,concat_truncate,0.0,natural,0.29000000000000004,0.7330682803739323,0.9481262691526675,0.8969479859067959,0.6005291005291006,0.6160990712074303,0.020594965675057208,,,experiments/phase3a/core/query_evidence_concat/seed2026,experiments/phase3a/core/query_evidence_concat/seed2026/evaluation/test/original_predictions.jsonl
score_aware_baseline,2026,query_evidence,score_aware_packing,0.0,natural,0.29000000000000004,0.812206572769953,0.9577464788732394,0.9311876712715766,0.40476190476190477,0.4148606811145511,0.02745995423340961,,,experiments/phase3a/core/score_aware_baseline/seed2026,experiments/phase3a/core/score_aware_baseline/seed2026/evaluation/test/original_predictions.jsonl
score_aware_coverage_aux_lambda_0.1,42,query_evidence,score_aware_packing,0.1,natural,0.38000000000000006,0.8080487065837039,0.9574507966260544,0.9323555466766755,0.42063492063492064,0.4241486068111455,0.02593440122044241,0.07548113578557968,0.4888244279702692,experiments/phase3a/lambda_dev/lambda_0.1_seed42,experiments/phase3a/lambda_dev/lambda_0.1_seed42/evaluation/test/original_predictions.jsonl
