policy,kind,calibration_method,selection,risk_target,threshold,questions,risk_evaluation_scope,false_stop_rate,hard_partial_false_stop_rate,unnecessary_escalation_rate,macro_f1,stop_precision,stop_recall,auroc,stop_rate,early_stop_rate,average_final_stage,final_insufficient_evidence_rate,answer_em,answer_f1,supporting_fact_recall,complete_evidence_coverage,model_visible_supporting_fact_recall,model_visible_complete_evidence_coverage,average_retrieved_chunks,average_unique_titles,average_reranker_calls,average_controller_calls,average_llm_input_tokens,average_llm_output_tokens,average_llm_total_tokens,generation_latency_mean_ms,generation_latency_median_ms,generation_latency_p95_ms,retrieval_latency_mean_ms,retrieval_latency_median_ms,retrieval_latency_p95_ms,controller_latency_mean_ms,controller_latency_median_ms,controller_latency_p95_ms,total_latency_mean_ms,total_latency_median_ms,total_latency_p95_ms,estimated_total_latency_mean_ms,estimated_total_latency_median_ms,estimated_total_latency_p95_ms,retrieval_latency_source,controller_latency_source,generation_latency_source,deployable,pareto_optimal_chunks_answer_f1
fixed_dense,fixed,,,,,1000,reached_actionable_controller_decisions,1.0,1.0,0.0,0.4444444444444444,0.8,1.0,,1.0,1.0,1.0,0.2,0.371,0.46591004060267216,0.8959,0.8,0.8959,0.8,5.0,4.981,0.0,0.0,725.508,3.39,728.898,207.2592176538892,176.9556028302759,364.49845279566904,26.529376332182437,25.81020467914641,32.592734321951866,0.0,0.0,0.0,233.78859398607165,203.39093310758471,390.1806049980219,212.6908645706815,182.36970991502565,370.0372988279072,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,True,True
fixed_hybrid,fixed,,,,,1000,reached_actionable_controller_decisions,0.3333333333333333,0.34782608695652173,0.47058823529411764,0.48717948717948717,0.9,0.5294117647058824,,0.5,1.0,2.0,0.1,0.403,0.5074312016638333,0.9499,0.9,0.9499,0.9,11.504,11.474,0.0,0.0,1519.771,3.515,1523.286,290.84596703154966,268.2662573643029,469.9528466444462,55.7853953326121,54.18036179617047,73.81060407496989,0.0,0.0,0.0,346.63136236416176,324.89937893114984,520.621309080161,328.3785198356589,305.92384395795926,501.45394130750606,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,True,False
fixed_heavy,fixed,,,,,1000,reached_actionable_controller_decisions,0.0,0.0,1.0,0.13043478260869565,0.0,0.0,,0.0,0.0,3.0,0.078,0.407,0.510839232130099,0.96125,0.922,0.96125,0.922,20.646,20.606,1.0,0.0,2650.242,3.479,2653.721,409.50213543651626,387.9967858083546,598.3029850758612,178.2870012097992,178.4167201258242,218.74511593487114,0.0,0.0,0.0,587.7891366463155,568.9774199854583,781.866275658831,585.0506566653592,564.8520954616349,772.1821927550143,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,True,True
always_stop_earliest,fixed,,,,,1000,reached_actionable_controller_decisions,1.0,1.0,0.0,0.4444444444444444,0.8,1.0,,1.0,1.0,1.0,0.2,0.371,0.46591004060267216,0.8959,0.8,0.8959,0.8,5.0,4.981,0.0,0.0,725.508,3.39,728.898,207.2592176538892,176.9556028302759,364.49845279566904,26.529376332182437,25.81020467914641,32.592734321951866,0.0,0.0,0.0,233.78859398607165,203.39093310758471,390.1806049980219,212.6908645706815,182.36970991502565,370.0372988279072,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,False,False
always_continue_final,fixed,,,,,1000,reached_actionable_controller_decisions,0.0,0.0,1.0,0.13043478260869565,0.0,0.0,,0.0,0.0,3.0,0.078,0.407,0.510839232130099,0.96125,0.922,0.96125,0.922,20.646,20.606,1.0,0.0,2650.242,3.479,2653.721,409.50213543651626,387.9967858083546,598.3029850758612,178.2870012097992,178.4167201258242,218.74511593487114,0.0,0.0,0.0,587.7891366463155,568.9774199854583,781.866275658831,585.0506566653592,564.8520954616349,772.1821927550143,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,False,False
oracle_stop_analysis_only,oracle,,,,,1000,reached_actionable_controller_decisions,0.0,0.0,0.0,1.0,1.0,1.0,,0.75,0.9,1.3,0.078,0.413,0.5150104069030386,0.96125,0.922,0.96125,0.922,7.296,7.274,0.1,0.0,1009.357,3.512,1012.869,240.7193531212397,209.7280416637659,434.40576319117093,44.49323821440339,25.906266877427697,178.13167686108497,0.0,0.0,0.0,285.2125913356431,238.61744115129113,570.9112658631055,266.0198751287924,217.70361551689965,566.1776055470061,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,False,False
uncalibrated_adaptive_phase3a_threshold,adaptive,raw,phase3a_dev,,0.38000000000000006,1000,reached_actionable_controller_decisions,0.33212996389891697,0.33047210300429186,0.044642857142857144,0.8327341393644512,0.9029535864978903,0.9553571428571429,0.9329994520371324,0.8081841432225064,0.948,1.225,0.126,0.4,0.4983945338871655,0.9365666666666668,0.874,0.9365666666666668,0.874,6.689,6.668,0.052,1.173,935.775,3.474,939.249,231.77594741992652,205.28953685425222,423.9750155713408,37.773932753130794,25.88164946064353,126.2589273741462,15.413442934397608,13.132137013599277,26.293369219638407,284.9633231074549,247.3339659627527,565.0329593103378,249.5658208075645,211.9968121093796,532.8743120809183,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,True,True
temperature_calibrated_threshold_0.5,adaptive,temperature,fixed_default,,0.5,1000,reached_actionable_controller_decisions,0.2846975088967972,0.2838983050847458,0.06571741511500548,0.8329288818348638,0.9142550911039657,0.9342825848849945,0.931261766574548,0.7814070351758794,0.933,1.261,0.121,0.398,0.4965056449982766,0.9394,0.879,0.9394,0.879,6.961,6.939,0.067,1.194,970.493,3.485,973.978,235.70398323237896,207.9089095350355,434.40576319117093,40.13021279172972,25.907885981723666,155.9999540448187,15.689135674387217,13.133239466696978,26.298740948550403,291.5233316984959,250.5413049366325,578.0337910167873,256.1852898958412,214.91836555442822,544.0441117139077,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,True,False
raw_point_risk_20,adaptive,raw,point,0.2,0.56,1000,reached_actionable_controller_decisions,0.2508833922261484,0.25210084033613445,0.0790899241603467,0.8341938834743821,0.9229098805646037,0.9209100758396533,0.9271311478547829,0.763681592039801,0.921,1.285,0.117,0.399,0.4989147359073675,0.9416666666666667,0.883,0.9416666666666667,0.883,7.146,7.124,0.079,1.206,994.646,3.492,998.138,238.49576183082536,209.32893943972886,442.85571959335357,42.06367771374062,25.916714686900377,169.22861407510936,15.846212337259203,13.134183827787638,26.29888318479061,296.4056518818252,251.58705306239426,592.1608207980169,261.0366221888715,217.1557329981686,563.5773973216662,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,True,True
raw_conservative_risk_20,adaptive,raw,conservative,0.2,0.79,1000,reached_actionable_controller_decisions,0.15463917525773196,0.15918367346938775,0.15902140672782875,0.8006833792895381,0.9482758620689655,0.8409785932721713,0.9205068115500349,0.6839622641509434,0.87,1.402,0.107,0.397,0.49768140257403415,0.9466666666666667,0.893,0.9466666666666667,0.893,8.043,8.021,0.13,1.272,1102.983,3.488,1106.471,249.38415460148826,221.48412861861289,458.34506356623024,50.15008684294298,26.02264890447259,185.56843800470233,16.715097175445408,13.144958997145295,26.323937973938882,316.24933861987665,263.45744961872697,634.2636798741296,281.04833500022033,228.30196327204865,595.1627128623901,phase3b_fresh_component_benchmark_cuda_synchronized,phase3b_batch_size_one_cuda_synchronized,phase3b_cuda_synchronized_per_generation,True,False
