comparison,metric,observed_delta,bootstrap_mean_delta,ci95_low,ci95_high,replicates,sampling_unit
temperature_conservative_risk_10_minus_fixed_heavy,answer_f1,0.010405401636395223,0.01042250109741373,0.005712640327771366,0.015261824576448622,5000,question_id
temperature_conservative_risk_10_minus_fixed_heavy,answer_em,0.009144402035623417,0.009160305343511449,0.004691475826972018,0.013835877862595436,5000,question_id
temperature_conservative_risk_10_minus_fixed_heavy,chunks,-7.024570610687025,-7.024956599872773,-7.153627942111961,-6.897662213740459,5000,question_id
temperature_conservative_risk_10_minus_fixed_heavy,reranker,-0.49896628498727735,-0.4989897582697201,-0.5078741253180662,-0.49029898218829515,5000,question_id
temperature_conservative_risk_10_minus_fixed_heavy,latency,-551.912885520486,-551.9852235446233,-564.2714045058193,-539.5956550606721,5000,question_id
temperature_conservative_risk_10_minus_fixed_heavy,coverage,-0.042620865139949116,-0.04265402353689567,-0.0462010973282443,-0.03920165394402031,5000,question_id
AdaptiveRouter_seed42_minus_temperature_conservative_risk_10,answer_f1,-0.006747500054927719,-0.006723749521872262,-0.00919986490927534,-0.004277691741995629,5000,question_id
AdaptiveRouter_seed42_minus_temperature_conservative_risk_10,answer_em,-0.006202290076335881,-0.0061814408396946565,-0.008508269720101769,-0.003896310432569966,5000,question_id
AdaptiveRouter_seed42_minus_temperature_conservative_risk_10,chunks,2.148616412213741,2.1491513676844787,2.0531130725190825,2.2430065203562353,5000,question_id
AdaptiveRouter_seed42_minus_temperature_conservative_risk_10,reranker,0.18026399491094147,0.18029737595419848,0.1733440680661577,0.1872614503816794,5000,question_id
AdaptiveRouter_seed42_minus_temperature_conservative_risk_10,latency,109.81611866147887,109.88031257426974,101.64577129683366,117.92383905911544,5000,question_id
AdaptiveRouter_seed42_minus_temperature_conservative_risk_10,coverage,0.01105279898218825,0.011082569974554706,0.007554071246819338,0.014553514631043247,5000,question_id
temperature_conservative_risk_10,false_stop_rate,0.12310521976279572,0.12313465933401876,0.11810921353389348,0.12837358336460408,5000,question_id
