system,questions,accuracy,macro_f1,stop_precision,stop_recall,stop_f1,auroc,false_stop_rate,unnecessary_escalation_rate,hard_partial_false_stop_rate,recoverable_false_stop_rate,unrecoverable_early_stop_rate,answer_em,answer_f1,supporting_fact_recall,complete_evidence_coverage,model_visible_supporting_fact_recall,model_visible_complete_evidence_coverage,average_final_stage,average_retrieved_chunks,average_unique_titles,average_reranker_calls,average_controller_calls,average_llm_input_tokens,average_llm_output_tokens,average_llm_total_tokens,retrieval_latency_mean_ms,controller_latency_mean_ms,generation_latency_mean_ms,total_latency_mean_ms,early_stop_rate,probability,threshold,samples,stop_support,false_stop_count,actual_continue_count,unnecessary_escalation_count,actual_stop_count,reached_actionable_decisions,risk_target,seed,role,route_accuracy,route_macro_f1,light_route_rate,medium_route_rate,heavy_route_rate,recoverable_route_accuracy,recoverable_under_retrieval_rate,strict_parse_rate,judge_input_tokens_per_question,judge_output_tokens_per_question
fixed_heavy,12576,,,,,,,,,,,,0.16777989821882952,0.19215672075640125,0.7054760390161154,0.39782124681933845,0.7054760390161154,0.39782124681933845,3.0,20.293256997455472,16.859494274809162,1.0,0.0,2329.6563295165392,3.0188454198473282,2332.6751749363866,1316.0545439891127,0.0,360.2507421381075,1676.3052861272201,0.0,,,,,,,,,,,,,,,,,,,,,,
EvidenceAwareClassification,12576,0.9732696219898755,0.9610653159404154,0.9395698924731183,0.9389641091768751,0.9392669031495217,0.9950041820049874,0.017046833292890074,0.06103589082312486,0.017456668944523825,0.0931899641577061,0.010007290078865399,0.18042302798982188,0.20630785078572253,0.7003207167090755,0.387484096692112,0.7003207167090755,0.387484096692112,2.310989185750636,14.943145674300254,12.173027989821882,0.6302480916030534,1.6807410941475827,1778.6638835877864,3.0689408396946565,1781.7328244274809,914.0556127666697,22.031587924583164,305.4900760361078,1241.5772767273606,0.36975190839694655,raw_stop_probability,0.7900000000000001,21137,4653,281,16484,284,4653,21137,,,,,,,,,,,,,
temperature_conservative_risk_20,12576,0.9028986227812857,0.8750752115610139,0.6906772908366534,0.9972388403129314,0.8161190095094624,,0.12310521976279572,0.0027611596870685687,0.12185611230259309,0.429831595829992,0.09676308539944904,0.17692430025445294,0.20256212239279647,0.6826680449533503,0.35520038167938933,0.6826680449533503,0.35520038167938933,2.100349872773537,13.268686386768447,10.834526081424936,0.5010337150127226,1.5993161577608141,1566.0655216284988,3.050413486005089,1569.1159351145038,820.9090682954057,20.964248849275734,282.51908346205244,1124.3924006067339,0.49896628498727735,temperature_stop_probability,0.01,20113,4346,1941,15767,12,4346,20113,0.2,,,,,,,,,,,,
temperature_conservative_risk_10,12576,0.9028986227812857,0.8750752115610139,0.6906772908366534,0.9972388403129314,0.8161190095094624,,0.12310521976279572,0.0027611596870685687,0.12185611230259309,0.429831595829992,0.09676308539944904,0.17692430025445294,0.20256212239279647,0.6826680449533503,0.35520038167938933,0.6826680449533503,0.35520038167938933,2.100349872773537,13.268686386768447,10.834526081424936,0.5010337150127226,1.5993161577608141,1566.0655216284988,3.050413486005089,1569.1159351145038,820.9090682954057,20.964248849275734,282.51908346205244,1124.3924006067339,0.49896628498727735,temperature_stop_probability,0.01,20113,4346,1941,15767,12,4346,20113,0.1,,,,,,,,,,,,
temperature_conservative_risk_05,12576,0.9157391903870777,0.8897773604622691,0.7206464379947229,0.9961249145201733,0.8362836092239977,,0.10641371945473962,0.0038750854798267607,0.10515477186434133,0.3661417322834646,0.08389651170728378,0.17771946564885496,0.20360488352620645,0.685669794317218,0.36084605597964375,0.685669794317218,0.36084605597964375,2.1324745547073793,13.517175572519085,11.031727099236642,0.5178117048346056,1.6146628498727735,1597.3335718829517,3.053594147582697,1600.3871660305344,837.6781854731859,21.165417249211604,285.9067301158081,1144.7503328382056,0.4821882951653944,temperature_stop_probability,0.02,20306,4387,1694,15919,17,4387,20306,0.05,,,,,,,,,,,,
AdaptiveRouter_seed42,12576,,,,,,,,,,,,0.17072201017811706,0.19581462233786875,0.6895197201017811,0.3662531806615776,0.6895197201017811,0.3662531806615776,2.3625954198473282,15.417302798982188,12.557251908396946,0.6812977099236641,0.0,1835.5590012722646,3.01566475826972,1838.5746660305344,911.9227621494855,12.797455423278734,309.48830169544857,1234.2085192682127,0.3187022900763359,,,,,,,,,,,42,three_seed_router,0.8843034351145038,0.5951701023373811,0.3187022900763359,0.0,0.6812977099236641,0.7469518289026584,0.07935238856685989,,,
AdaptiveRouter_seed123,12576,,,,,,,,,,,,0.17056297709923665,0.19523568672195793,0.6922232824427481,0.37181933842239184,0.6922232824427481,0.37181933842239184,2.4004452926208653,15.706186386768447,12.786895674300254,0.7002226463104325,0.0,1875.1253975826971,3.017334605597964,1878.1427321882952,930.9065326514943,12.797455423278734,313.68204590544167,1257.3860339802147,0.2997773536895674,,,,,,,,,,,123,three_seed_router,0.8788167938931297,0.5908198870429686,0.2997773536895674,0.0,0.7002226463104325,0.7253647811313212,0.06536078352988207,,,
AdaptiveRouter_seed2026,12576,,,,,,,,,,,,0.17135814249363868,0.19623162873054306,0.6885257633587786,0.36450381679389315,0.6885257633587786,0.36450381679389315,2.351940203562341,15.338024809160306,12.488708651399492,0.6759701017811705,0.0,1828.7857029262086,3.0169370229007635,1831.8026399491093,906.9684207411459,12.797455423278734,308.8784973124582,1228.6443734768827,0.3240298982188295,,,,,,,,,,,2026,three_seed_router,0.8837468193384224,0.5947923150854131,0.3240298982188295,0.0,0.6759701017811705,0.749750149910054,0.08374975014991005,,,
Judge-512,12576,0.7550609023846285,0.6194378238905791,0.782258064516129,0.26175259196136913,0.3922528466531872,,0.03152073732718894,0.7382474080386309,0.031531248033230534,0.044096728307254626,0.030331562310848072,0.173823155216285,0.19794994770897936,0.702467663273961,0.3928912213740458,0.702467663273961,0.3928912213740458,2.6666666666666665,17.685114503816795,14.583730916030534,0.8126590330788804,1.8540076335877862,2074.8557569974555,3.0279898218829517,2077.8837468193383,1117.8403368040451,336.470477836307,334.67949391196817,1788.9903085523201,0.1873409669211196,,,23316,7041,513,16275,5198,7041,23316,,,,,,,,,,,1.0,1223.1787531806615,5.562022900763359
Judge-Full,12576,0.7535226256864331,0.6055783188761328,0.8368686868686869,0.23259404828747895,0.3640158172231986,,0.019734832284474858,0.767405951712521,0.019712140175219023,0.03911806543385491,0.017913241093509794,0.1741412213740458,0.19844733253365426,0.702971268023749,0.3934478371501272,0.702971268023749,0.3934478371501272,2.710480279898219,18.041825699745548,14.885019083969466,0.8425572519083969,1.8679230279898218,2110.4367048346057,3.0329993638676847,2113.469704198473,1140.1433012610448,411.972928199942,338.48204354301515,1890.598273004002,0.15744274809160305,,,23491,7124,323,16367,5467,7124,23491,,,,,,,,,,,1.0,1970.3203721374045,5.603769083969466
